,pred_mrl,true_mrl,id
16,0.05081834654086213,5.2967153,44074
17,0.050980164016797974,6.593993,88434
18,0.05009290449100294,6.6926985,34895
19,0.05096298930119177,6.241692,42874
20,0.050178524999893004,7.43066,75061
21,0.050053378226931476,5.1299896,87001
22,0.05051141786873532,5.927261,60752
23,0.050911668770198606,7.1339626,18623
24,0.05003225921608776,6.8070645,24424
25,0.050515451535099704,7.9868236,65527
26,0.051190844755847904,6.430629,95947
27,0.05033988650058104,6.406619,4076
28,0.05109953503503561,2.8329563,15927
29,0.05190059620142053,5.861002,17821
30,0.04974280344106031,6.5235972,52891
31,0.049770498012728384,3.1497684,60745
0,0.05093961889332063,4.426664,91122
1,0.05053666348458481,3.2229245,24234
2,0.049349958533946144,6.862687,58141
3,0.0526876264420834,3.5139034,77469
4,0.04958922652566519,5.270784,17506
5,0.051211754408662484,4.2437644,59956
6,0.04960442333020009,7.480079,91253
7,0.050168364681382964,7.4041944,11275
8,0.05066276526108198,6.2559943,66493
9,0.04920696933384977,7.32152,95246
10,0.051172198768636115,2.5213618,40080
11,0.051186487595264396,6.008717,44512
12,0.05122347924456344,6.3163486,5689
13,0.05044657236639181,3.6906574,12679
14,0.050096368203129085,6.130311,52203
15,0.05144850587029321,4.338717,64401
16,0.050821510078872825,6.4310155,54728
17,0.050602898552163336,5.9157724,29172
18,0.051323230153843005,5.149231,10791
19,0.05062830341136686,3.6985195,82157
20,0.05098339826743291,1.5688969,77730
21,0.05137588941920456,6.7245965,20310
22,0.050792329299535116,6.6003904,505
23,0.050408232919546145,7.237123,88271
24,0.051018856300306226,5.57337,43722
25,0.050667637814897686,6.4026737,98729
26,0.050110846053831766,7.0294714,24652
27,0.04995293293269602,3.6714911,79408
28,0.05175251743641322,4.296382,36904
29,0.05107592698927548,6.5906444,84465
30,0.05047899611946707,7.942278,34770
31,0.050579404381123,6.109666,71574
